ID_PARTICIPANTE,TASK_NUMBER,TIME_OF_EVENT,TASK_CLICK_NUMBER,EVENT
6,5,738588.15:25:00.1847956,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
6,5,738588.15:25:02.5487365,4,PersonalInfo/KPIsMain/Buttons/PartCountNIOButton
6,5,738588.15:25:08.0080888,5,PersonalInfo/KPIsSpecific/ShiftNumberSlider
6,5,738588.15:25:12.3601649,6,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
6,5,738588.15:25:13.5274143,7,Open: 260
6,5,738588.15:25:14.8680778,8,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
6,5,738588.15:25:17.1844139,9,PersonalInfo/KPIsMain/Buttons/PartCountButton
6,5,738588.15:25:22.0919714,10,PersonalInfo/KPIsSpecific/ShiftNumberSlider
6,5,738588.15:25:30.0943033,11,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
6,6,738588.15:25:44.8799594,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
7,1,738588.15:55:19.6734683,1,Open: 260
7,1,738588.15:56:02.3949719,2,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
7,1,738588.15:56:05.4397872,3,Open: 260
7,1,738588.15:56:05.6385123,4,PersonalInfo/GeneralStationInfo/Buttons/BottleneckButton
7,1,738588.15:57:01.3670720,5,HandMenu/LineMonitoringMenu/FilterButton
7,1,738588.15:57:06.0710705,6,HandMenu/LineMonitoringMenu/FilterButtonCollection/AllButton
7,1,738588.15:57:14.4311467,7,HandMenu/LineMonitoringMenu/BackButton
7,1,738588.15:57:38.0874123,8,HandMenu/MainMenu/ButtonCollection/LineMonitoringButton
7,1,738588.15:57:48.5616201,9,Open: 260
7,1,738588.15:57:52.6567137,10,PersonalInfo/GeneralStationInfo/Buttons/CycleTimesButton
7,1,738588.15:58:07.6629545,11,PersonalInfo/CycleTimesMain/TitleBar/Buttons/CloseButton
