timestamp,TASK_CLICK_NUMBER,fullEvent,id,task,event,context,subcontext,attr,station,environment
2023-03-10 15:59:06.860,2,Open: 260,7,2,select_station,,,,260,ar
2023-03-10 15:59:07.039,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton,7,2,show_kpi,personal,,,,ar
2023-03-10 15:59:27.694,4,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton,7,2,close,personal,kpi_main,,,ar
2023-03-10 15:59:33.099,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,7,3,finish_task,,,,,ar
2023-03-10 15:59:52.297,2,Open: 270,7,3,select_station,,,,270,ar
2023-03-10 15:59:56.637,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,7,4,finish_task,,,,,ar
2023-03-10 16:00:10.164,2,Open: 290,7,4,select_station,,,,290,ar
2023-03-10 16:00:42.895,3,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon,7,4,close,personal,,,,ar
2023-03-10 16:00:45.314,4,Open: 290,7,4,select_station,,,,290,ar
2023-03-10 16:00:45.499,5,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton,7,4,show_kpi,personal,,,,ar
2023-03-10 16:00:57.124,6,PersonalInfo/KPIsMain/Buttons/OEEButton,7,4,select_attr,,,oee,,ar
2023-03-10 16:01:03.594,7,PersonalInfo/KPIsSpecific/ShiftNumberSlider,7,4,set_slider,,,,,ar
2023-03-10 16:01:17.007,8,PersonalInfo/KPIsSpecific/ShiftNumberSlider,7,4,set_slider,,,,,ar
2023-03-10 16:02:40.895,9,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton,7,4,close,personal,kpi_specific,,,ar
2023-03-10 16:02:43.755,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,7,5,finish_task,,,,,ar
2023-03-10 16:02:56.146,2,Open: 260,7,5,select_station,,,,260,ar
2023-03-10 16:02:57.779,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton,7,5,show_kpi,personal,,,,ar
2023-03-10 16:02:59.656,4,PersonalInfo/KPIsMain/Buttons/PartCountButton,7,5,select_attr,,,partCount,,ar
2023-03-10 16:03:26.639,5,PersonalInfo/KPIsSpecific/ShiftNumberSlider,7,5,set_slider,,,,,ar
2023-03-10 16:03:54.183,6,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton,7,5,close,personal,kpi_specific,,,ar
2023-03-10 16:03:58.399,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,7,6,finish_task,,,,,ar
2023-03-10 16:12:15.450,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,8,2,finish_task,,,,,ar
2023-03-10 16:12:42.018,2,Open: 260,8,2,select_station,,,,260,ar
2023-03-10 16:12:45.941,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton,8,2,show_kpi,personal,,,,ar
2023-03-10 16:13:00.679,4,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton,8,2,close,personal,kpi_main,,,ar
2023-03-10 16:13:04.702,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,8,3,finish_task,,,,,ar
2023-03-10 16:13:18.381,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,8,4,finish_task,,,,,ar
2023-03-10 16:13:32.960,2,Open: 290,8,4,select_station,,,,290,ar
2023-03-10 16:13:46.582,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton,8,4,show_kpi,personal,,,,ar
2023-03-10 16:13:59.717,4,PersonalInfo/KPIsMain/Buttons/OEEButton,8,4,select_attr,,,oee,,ar
2023-03-10 16:14:15.461,5,PersonalInfo/KPIsSpecific/ShiftNumberSlider,8,4,set_slider,,,,,ar
2023-03-10 16:14:25.081,6,Open: 290,8,4,select_station,,,,290,ar
2023-03-10 16:14:29.651,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,8,5,finish_task,,,,,ar
2023-03-10 16:14:34.729,2,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon,8,5,close,personal,,,,ar
2023-03-10 16:14:55.090,3,Open: 260,8,5,select_station,,,,260,ar
2023-03-10 16:14:56.452,4,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton,8,5,show_kpi,personal,,,,ar
2023-03-10 16:14:58.075,5,PersonalInfo/KPIsMain/Buttons/PartCountButton,8,5,select_attr,,,partCount,,ar
2023-03-10 16:15:08.476,6,PersonalInfo/KPIsSpecific/ShiftNumberSlider,8,5,set_slider,,,,,ar
2023-03-10 16:15:24.814,7,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton,8,5,close,personal,kpi_specific,,,ar
2023-03-10 16:15:28.150,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton,8,6,finish_task,,,,,ar
