event,station,element,id,task,timestamp,lx,ly,vis_id,attr,value,vis-id,environment
finish_task,-1,icon,5,4,1678448478421,1079.0,169.0,,,,,tablet
select_station,-1,list,5,5,1678448485838,1049.0,277.0,,,,,tablet
show_kpi,260,icon,5,5,1678448488837,85.0,457.0,,,,,tablet
select_attr,260,vis,5,5,1678448490555,404.0,128.0,1.0,partCount,,,tablet
set_slider,260,vis,5,5,1678448495140,,,3.0,partCount,11,,tablet
finish_task,-1,icon,5,5,1678448502526,1077.0,224.0,,,,,tablet
start_evaluation,-1,page,6,1,1678461139191,,,,,,,tablet
select_station,260,map,6,1,1678461146057,245.0,291.0,,,,,tablet
show_filters,260,icon,6,1,1678461146380,84.0,383.0,,,,,tablet
show_kpi,260,icon,6,1,1678461148157,82.0,458.0,,,,,tablet
show_cycle,260,icon,6,1,1678461150345,147.0,548.0,,,,,tablet
show_filters,260,icon,6,1,1678461152853,80.0,364.0,,,,,tablet
show_filters,260,icon,6,1,1678461154201,73.0,369.0,,,,,tablet
close_vis,260,icon,6,1,1678461154828,219.0,411.0,,,,,tablet
finish_task,-1,icon,6,1,1678461156745,1084.0,148.0,,,,,tablet
select_station,260,map,6,2,1678461162047,219.0,305.0,,,,,tablet
show_kpi,260,icon,6,2,1678461163553,79.0,462.0,,,,,tablet
finish_task,-1,icon,6,2,1678461175281,1080.0,180.0,,,,,tablet
finish_task,-1,icon,6,3,1678461186819,1078.0,164.0,,,,,tablet
select_station,290,map,6,4,1678461193016,527.0,50.0,,,,,tablet
select_station,-1,map,6,4,1678461195361,552.0,63.0,,,,,tablet
show_kpi,-1,icon,6,4,1678461196534,86.0,463.0,,,,,tablet
show_kpi,-1,icon,6,4,1678461197633,76.0,457.0,,,,,tablet
select_station,290,map,6,4,1678461199540,548.0,65.0,,,,,tablet
select_station,-1,map,6,4,1678461200651,539.0,50.0,,,,,tablet
select_station,290,map,6,4,1678461201348,543.0,55.0,,,,,tablet
show_kpi,290,icon,6,4,1678461202209,95.0,451.0,,,,,tablet
select_attr,290,vis,6,4,1678461225833,240.0,105.0,1.0,oee,,,tablet
finish_task,-1,icon,6,4,1678461233502,1088.0,161.0,,,,,tablet
select_station,260,map,6,5,1678461243622,229.0,297.0,,,,,tablet
show_kpi,260,icon,6,5,1678461247768,76.0,460.0,,,,,tablet
select_attr,260,vis,6,5,1678461253770,516.0,121.0,1.0,partCount,,,tablet
set_slider,260,vis,6,5,1678461259870,,,3.0,partCount,10,,tablet
finish_task,-1,icon,6,5,1678461270603,1078.0,213.0,,,,,tablet
start_evaluation,-1,page,7,1,1678464413864,,,,,,,tablet
finish_task,-1,icon,7,1,1678464417965,1080.0,170.0,,,,,tablet
select_station,260,map,7,2,1678464422048,207.0,298.0,,,,,tablet
show_filters,260,icon,7,2,1678464422599,77.0,402.0,,,,,tablet
show_kpi,260,icon,7,2,1678464423248,82.0,475.0,,,,,tablet
show_filters,260,icon,7,2,1678464423946,78.0,463.0,,,,,tablet
finish_task,-1,icon,7,2,1678464432334,1078.0,177.0,,,,,tablet
finish_task,-1,icon,7,3,1678464446229,1080.0,165.0,,,,,tablet
select_station,290,map,7,4,1678464449505,555.0,35.0,,,,,tablet
show_filters,290,icon,7,4,1678464450147,80.0,396.0,,,,,tablet
show_kpi,290,icon,7,4,1678464450823,75.0,441.0,,,,,tablet
select_attr,290,vis,7,4,1678464456662,153.0,116.0,1.0,oee,,,tablet
set_slider,290,vis,7,4,1678464460566,,,3.0,oee,11,,tablet
finish_task,-1,icon,7,4,1678464474534,1074.0,168.0,,,,,tablet
show_kpi,-1,icon,7,5,1678464479330,77.0,460.0,,,,,tablet
select_station,260,map,7,5,1678464482383,223.0,295.0,,,,,tablet
show_kpi,260,icon,7,5,1678464482925,90.0,456.0,,,,,tablet
select_attr,260,vis,7,5,1678464487524,500.0,126.0,1.0,partCount,,,tablet
set_slider,260,vis,7,5,1678464493144,,,3.0,partCount,10,,tablet
finish_task,-1,icon,7,5,1678464506857,1084.0,200.0,,,,,tablet
start_evaluation,-1,page,8,1,1678464009818,,,,,,,tablet
select_station,260,map,8,1,1678464022776,236.0,310.0,,,,,tablet
finish_task,-1,icon,8,1,1678464027495,1097.0,165.0,,,,,tablet
select_station,260,map,8,2,1678464038878,220.0,314.0,,,,,tablet
show_filters,260,icon,8,2,1678464039710,76.0,398.0,,,,,tablet
show_kpi,260,icon,8,2,1678464040682,69.0,463.0,,,,,tablet
finish_task,-1,icon,8,2,1678464067755,1083.0,194.0,,,,,tablet
finish_task,-1,icon,8,3,1678464084394,1094.0,172.0,,,,,tablet
select_station,290,map,8,4,1678464090762,561.0,46.0,,,,,tablet
show_kpi,290,icon,8,4,1678464091789,91.0,460.0,,,,,tablet
select_attr,290,vis,8,4,1678464093712,243.0,117.0,1.0,oee,,,tablet
finish_task,-1,icon,8,4,1678464116687,1081.0,159.0,,,,,tablet
select_station,260,map,8,5,1678464123137,244.0,287.0,,,,,tablet
show_kpi,260,icon,8,5,1678464123966,77.0,463.0,,,,,tablet
select_attr,260,vis,8,5,1678464127416,519.0,103.0,1.0,partCount,,,tablet
set_slider,260,vis,8,5,1678464154858,,,3.0,partCount,10,,tablet
set_slider,260,vis,8,5,1678464164286,,,3.0,partCount,12,,tablet
